OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,CEC_Jurisdictional,x,y
1865,S0335,Corcoran 2 Solar LLC CED,0,RWE Clean Energy,Kings,19.8,1,SUN,6/10/2015 0:00,0,-119.567893,36.13716961
1866,S0520,Corcoran 3 Solar,0,RWE Clean Energy,Kings,20,Unit 1,SUN,2/11/2016 0:00,0,-119.5797122,36.14431894
1869,S0608,Exeter Solar,0,Altus Power,Tulare,3.5,ES,SUN,2/12/2014 0:00,0,-119.128325,36.26629779
1870,S0609,Lindsay Solar,0,Altus Power,Tulare,4,LS,SUN,1/15/2014 0:00,0,-119.1339997,36.21177821
1871,S9325,ImModo California 1 LLC_(East Orosi 1),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,0,-119.0399436,36.10371743
1872,S9326,ImModo California 1 LLC_(East Orosi 2),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,0,-119.0387897,36.1016196
1873,S9327,ImModo California 1 LLC_(East Orosi 3),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,0,-119.0373472,36.09973362
1874,S0151,Porterville Solar,0,Tulare PV I LLC,Tulare,3.5,PS,SUN,1/13/2014 0:00,0,-119.039671,36.10278037
1875,S0518,Sequoia PV3,0,Coronal Group LLC,Tulare,3,Porterville6&7,SUN,8/1/2014 0:00,0,-119.0367638,36.09882123
1876,H0525,Tule River,0,Southern California Edison (SCE),Tulare,2.52,"1, 2",WAT,9/1/1909 0:00,0,-118.7888215,36.13568994
1877,H0523,Tule,0,Pacific Gas & Electric (PG&E),Tulare,8.5,"1, 2",WAT,1/1/1914 0:00,0,-118.7070939,36.16307556
1878,H0216,Haiwee,0,Los Angeles Department of Water & Power (LADWP),Inyo,6.4,"Unit 1, Unit 2",WAT,7/1/1927 0:00,0,-117.9568257,36.1099539
1879,S9163,CA Dept of Correctionns Salinas (SVSP),0,Not Available,Monterey,2,1,SUN,1/1/2013 0:00,0,-121.3694531,36.47228282
1881,W0455,City of Soledad,0,See WPRS for details,Monterey,1,WPRS 1,WND,12/31/1989 0:00,0,-121.3401411,36.4209101
1882,S0176,Cantua Solar Station,0,Pacific Gas & Electric (PG&E),Fresno,20,1,SUN,6/19/2012 0:00,0,-120.3423065,36.42342829
1883,S0458,Buford Five Points Solar Park (Excelsior),0,Clenera - Renewable Energy,Fresno,60,W5015,SUN,8/23/2016 0:00,0,-120.2427653,36.39668324
1884,S0138,Westside Solar Station,0,Pacific Gas & Electric (PG&E),Fresno,20,Unit 1,SUN,8/31/2010 0:00,0,-120.1255006,36.37768624
1885,S0140,Five Points Solar Station,0,Pacific Gas & Electric (PG&E),Fresno,15,Unit 1,SUN,10/24/2011 0:00,0,-120.1075072,36.39500659
1886,S0563,Westside Solar LLC,0,Whitney Point Solar,Fresno,20,Unit 1,SUN,3/8/2017 0:00,0,-120.136151,36.38174843
1887,S0564,Whitney Point Solar LLC,0,Whitney Point Solar,Fresno,20,Unit 1,SUN,4/14/2017 0:00,0,-120.1363266,36.37508121
1888,S9018,Warmer Packing LLC,0,Not Available,Kings,1,1,SUN,1/1/2012 0:00,0,-119.7418439,36.40332643
1889,S0517,Sequoia PV2,0,Coronal Group LLC,Tulare,3,Hanford 1&2,SUN,8/29/2014 0:00,0,-119.6308046,36.30647202
1890,S9033,Jackson Michael,0,Not Available,Fresno,1,1,SUN,1/1/2012 0:00,0,-119.6086841,36.47175891
1891,S9076,George Jackson,0,Not Available,Fresno,1,1,SUN,1/1/2012 0:00,0,-119.6129412,36.4670419
1892,S0222,RE North Face,0,PureGen Power,Tulare,1,1,SUN,4/1/2009 0:00,0,-119.4007766,36.35446195
1893,S0633,Visalia USD El Diamante HS,0,Tesla Inc.,Tulare,1.01,93210617-CA,SUN,5/25/2017 0:00,0,-119.3486567,36.30599595
1894,S9038,Beret & Kees Jan De Jong,0,Not Available,Tulare,1,1,SUN,1/1/2012 0:00,0,-119.345839,36.47224943
1897,S0348,Ivanhoe Solar,0,Altus Power,Tulare,3.5,IS,SUN,1/17/2014 0:00,0,-119.2551813,36.38735307
1898,S0516,Farmersville (Formerly Sequoia PV1),0,CD Arevon USA Inc.,Tulare,4.5,"Farmersville 1, Farmersville 2, Farmersville 3, Farmersville123, Tulare1&2",SUN,1/1/2019 0:00,0,-119.2139008,36.31837936
1899,S0693,Tulare (Formerly Sequoia PV1),0,CD Arevon USA Inc.,Tulare,3,"Tulare 1, Tulare 2",SUN,1/1/2019 0:00,0,-119.2132397,36.31854817
1900,H0262,Terminus Hydroelectric Project,0,Kaweah River Power Authority,Tulare,20,1,WAT,3/16/1990 0:00,0,-119.0069603,36.41543769
1901,H0259,Kaweah 1,0,Southern California Edison (SCE),Tulare,1,1,WAT,5/1/1990 0:00,0,-118.8619232,36.46525579
1902,H0260,Kaweah 2,0,Southern California Edison (SCE),Tulare,1.8,2,WAT,9/1/1929 0:00,0,-118.8798063,36.46156754
1903,H0116,Cottonwood,0,Los Angeles Department of Water & Power (LADWP),Inyo,2.8,"Unit 1, Unit 2",WAT,11/1/1908 0:00,0,-118.0435542,36.44346899
1904,S9028,CSU Monterey Bay - PV,0,Not Available,Monterey,1,1,SUN,1/1/2012 0:00,0,-121.7890482,36.64775046
1905,S9063,Community Hospital of Monterey Peninsula,0,Not Available,Monterey,1,1,SUN,1/1/2012 0:00,0,-121.9132743,36.57971873
1906,S9071,Salinas Valley Memorial Hospital,0,Not Available,Monterey,1,1,SUN,1/1/2012 0:00,0,-121.6471272,36.65941738
1907,S9040,Wines US Inc. Constellation,0,Not Available,Monterey,1,1,SUN,1/1/2012 0:00,0,-121.4340179,36.50335404
1909,W0457,Taylor Farms,0,See WPRS for details,Monterey,1,WPRS 1,WND,12/31/1989 0:00,0,-121.4515761,36.50521623
1910,S0635,Panoche Valley Solar,0,RWE Clean Energy,San Benito,140,Unit 1,SUN,12/29/2017 0:00,0,-120.8881855,36.63127382
1915,S0588,Buford Giffen Solar,0,Not Available,Fresno,20,Unit 1,SUN,6/16/2017 0:00,0,-120.3391471,36.55347626
1916,S0178,Giffen Solar Station,0,Pacific Gas & Electric (PG&E),Fresno,10,1,SUN,6/30/2012 0:00,0,-120.3136104,36.52960867
1917,S0312,Adams East  LLC,0,Onward Energy,Fresno,19,1,SUN,12/1/2014 0:00,0,-120.3850459,36.61553056
1918,S0526,Tranquillity LLC,0,Southern Power Company,Fresno,200,TRQS1,SUN,7/28/2016 0:00,0,-120.4006145,36.57798593
