OBJECTID,CECPlantID,PlantName,Retired Plant,Operator Company,County,Capacity_Latest,Units,PriEnergySource,StartDate,CEC_Jurisdictional,x,y,temperature,wind_speed,water_flow,cloud_cover,estimated_output
1865,S0335,Corcoran 2 Solar LLC CED,0,RWE Clean Energy,Kings,19.8,1,SUN,6/10/2015 0:00,0.0,-119.567893,36.13716961,4.35,2.54,0.0,29,2.5213023000000003
1866,S0520,Corcoran 3 Solar,0,RWE Clean Energy,Kings,20.0,Unit 1,SUN,2/11/2016 0:00,0.0,-119.5797122,36.14431894,4.33,1.54,0.0,0,3.5866
1869,S0608,Exeter Solar,0,Altus Power,Tulare,3.5,ES,SUN,2/12/2014 0:00,0.0,-119.128325,36.26629779,5.66,0.89,0.0,100,0.0
1870,S0609,Lindsay Solar,0,Altus Power,Tulare,4.0,LS,SUN,1/15/2014 0:00,0.0,-119.1339997,36.21177821,5.73,1.41,0.0,100,0.0
1871,S9325,ImModo California 1 LLC_(East Orosi 1),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,0.0,-119.0399436,36.10371743,7.02,0.0,0.0,100,0.0
1872,S9326,ImModo California 1 LLC_(East Orosi 2),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,0.0,-119.0387897,36.1016196,6.97,0.0,0.0,100,0.0
1873,S9327,ImModo California 1 LLC_(East Orosi 3),0,Not Available,Tulare,1.5,Unit 1,SUN,12/31/2013 0:00,0.0,-119.0373472,36.09973362,7.02,0.0,0.0,100,0.0
1874,S0151,Porterville Solar,0,Tulare PV I LLC,Tulare,3.5,PS,SUN,1/13/2014 0:00,0.0,-119.039671,36.10278037,7.02,0.0,0.0,100,0.0
1875,S0518,Sequoia PV3,0,Coronal Group LLC,Tulare,3.0,Porterville6&7,SUN,8/1/2014 0:00,0.0,-119.0367638,36.09882123,7.02,0.0,0.0,100,0.0
1876,H0525,Tule River,0,Southern California Edison (SCE),Tulare,2.52,"1, 2",WAT,9/1/1909 0:00,0.0,-118.7888215,36.13568994,4.61,0.43,0.0,98,0.0
1877,H0523,Tule,0,Pacific Gas & Electric (PG&E),Tulare,8.5,"1, 2",WAT,1/1/1914 0:00,0.0,-118.7070939,36.16307556,2.45,0.35,0.0,97,0.0
1878,H0216,Haiwee,0,Los Angeles Department of Water & Power (LADWP),Inyo,6.4,"Unit 1, Unit 2",WAT,7/1/1927 0:00,0.0,-117.9568257,36.1099539,-0.21,2.32,0.0,100,0.0
1879,S9163,CA Dept of Correctionns Salinas (SVSP),0,Not Available,Monterey,2.0,1,SUN,1/1/2013 0:00,0.0,-121.3694531,36.47228282,8.29,0.89,0.0,13,0.3189246
1881,W0455,City of Soledad,0,See WPRS for details,Monterey,1.0,WPRS 1,WND,12/31/1989 0:00,0.0,-121.3401411,36.4209101,8.45,0.89,0.0,14,0.17271740500000002
1882,S0176,Cantua Solar Station,0,Pacific Gas & Electric (PG&E),Fresno,20.0,1,SUN,6/19/2012 0:00,0.0,-120.3423065,36.42342829,5.12,2.83,0.0,13,3.1340879999999998
1883,S0458,Buford Five Points Solar Park (Excelsior),0,Clenera - Renewable Energy,Fresno,60.0,W5015,SUN,8/23/2016 0:00,0.0,-120.2427653,36.39668324,5.25,2.69,0.0,24,8.2194
1884,S0138,Westside Solar Station,0,Pacific Gas & Electric (PG&E),Fresno,20.0,Unit 1,SUN,8/31/2010 0:00,0.0,-120.1255006,36.37768624,3.95,3.09,0.0,0,3.5789999999999997
1885,S0140,Five Points Solar Station,0,Pacific Gas & Electric (PG&E),Fresno,15.0,Unit 1,SUN,10/24/2011 0:00,0.0,-120.1075072,36.39500659,3.98,3.09,0.0,0,2.6847000000000003
1886,S0563,Westside Solar LLC,0,Whitney Point Solar,Fresno,20.0,Unit 1,SUN,3/8/2017 0:00,0.0,-120.136151,36.38174843,3.95,3.09,0.0,0,3.5789999999999997
1887,S0564,Whitney Point Solar LLC,0,Whitney Point Solar,Fresno,20.0,Unit 1,SUN,4/14/2017 0:00,0.0,-120.1363266,36.37508121,3.95,3.09,0.0,0,3.5789999999999997
